ID,LENGTH,SENTAT,USER_ID
61,21,2016-04-12 03:37:43,3
62,32,2016-03-29 21:40:41,3
63,34,2016-04-14 20:39:14,3
64,34,2016-04-03 00:55:14,3
65,21,2016-04-11 11:12:24,3
66,15,2016-03-29 22:46:54,3
67,33,2016-03-27 05:06:32,3
68,21,2016-04-11 06:28:54,3
69,37,2016-04-13 17:16:47,3
70,30,2016-03-29 08:42:36,3
71,17,2016-04-09 23:39:19,3
72,25,2016-03-26 20:25:29,3
73,26,2016-04-16 20:56:09,3
74,25,2016-04-19 06:02:17,3
75,34,2016-04-13 21:40:14,3
76,20,2016-03-27 22:53:58,3
77,27,2016-04-07 05:24:08,3
78,17,2016-04-01 17:36:38,3
79,24,2016-03-25 13:16:50,3
80,37,2016-04-15 13:36:56,3
