ID,DURATION,DATE,USER_ID,NETWORKNAME
1,481,2016-04-03 06:58:28,2,molestie
2,316,2016-04-03 15:14:59,2,ipsum primis
3,81,2016-04-03 20:18:18,2,nulla
4,435,2016-04-03 08:49:28,1,proin leo
5,303,2016-04-03 05:16:57,1,nisi
6,79,2016-04-03 16:24:29,3,in imperdiet
7,220,2016-04-03 02:52:54,3,erat volutpat
8,479,2016-04-03 02:12:42,1,tempus
9,220,2016-04-03 23:44:55,2,non
10,120,2016-04-03 01:08:29,2,ipsum
11,358,2016-04-03 11:30:53,1,integer
12,438,2016-04-03 05:04:03,3,consequat
13,157,2016-04-03 20:45:28,1,a nibh
14,201,2016-04-03 10:12:52,3,ac
15,159,2016-04-03 10:40:48,1,ac
16,108,2016-04-03 18:50:18,1,feugiat et
17,159,2016-04-03 11:15:42,2,in
18,421,2016-04-03 00:18:19,1,quisque
19,131,2016-04-03 21:14:25,3,vulputate
20,84,2016-04-03 17:34:35,2,ac enim
21,284,2016-04-03 11:35:29,2,faucibus orci
22,329,2016-04-03 06:29:51,3,faucibus orci
23,236,2016-04-03 02:01:13,3,consequat
24,61,2016-04-03 10:41:23,3,donec
25,243,2016-04-03 13:06:07,3,ultrices aliquet
26,369,2016-04-03 09:44:16,2,vel
27,93,2016-04-03 21:12:10,4,pede
28,338,2016-04-03 00:20:38,1,amet consectetuer
29,123,2016-04-03 13:22:02,2,donec odio
30,358,2016-04-03 15:59:55,1,turpis
31,436,2016-04-03 20:27:19,2,at
32,116,2016-04-03 06:17:41,3,eros
33,316,2016-04-03 04:46:42,2,hendrerit at
34,287,2016-04-03 23:04:29,3,vulputate ut
35,201,2016-04-03 04:34:17,3,vivamus metus
36,289,2016-04-03 00:01:38,3,duis
37,50,2016-04-03 23:26:13,3,et ultrices
38,56,2016-04-03 04:15:41,4,nisi at
39,421,2016-04-03 21:15:59,4,mauris morbi
40,148,2016-04-03 09:40:35,4,augue
41,112,2016-04-03 13:06:14,4,ipsum ac
42,188,2016-04-03 01:25:39,4,eget rutrum
43,202,2016-04-03 20:53:34,1,nec
44,257,2016-04-03 00:53:25,4,morbi vestibulum
45,156,2016-04-03 01:38:47,3,dui
46,459,2016-04-03 05:38:08,4,orci
47,458,2016-04-03 20:10:45,4,in felis
48,489,2016-04-03 17:10:57,3,vitae
49,76,2016-04-03 04:41:02,1,neque sapien
50,463,2016-04-03 10:34:13,1,pede ac
